company_id,default_code,hs_code_Id,product_brand_id,name,uom_id,list_price,standard_price,specific_gravity,uom_po_id,product_type, categ_id ,track_all,type,produce_delay ,taxes_id,supplier_taxes_id,product_min_qty,product_max_qty,RQTY_ qty_multiple,ROUND,LOSSPER,warehouse_id,valuation     ,property_stock_account_input,property_stock_account_output,property_account_income, property_account_expense,cost_method,sale_ok,purchase_ok,status
NICE CHEMICALS PVT. LTD.,RP040,29181390,Purchase,POTASSIUM SODIUM TARTARATE,KG(s),330.39,330.39,1,KG(s),RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,100,100,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP041,28332990,Purchase,POTASSIUM SULPHATE A.R.,KG(s),156.44,156.44,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP042,28332990,Purchase,POTASSIUM SULPHATE L.R.,KG(s),81.8,81.8,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,100,100,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP043,28380030,Purchase,POTASSIUM THIOCYANATE,KG(s),282.69,282.69,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,50,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP044,29053200,Purchase,PROPYLENE GLYCOL,KG-LT,137.16,137.16,1.037,LT-1.037,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP045,29333100,Purchase,PYRIDENE,KG-LT,405.09,405.09,0.983,LT-0.983,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,5,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP046,28332990,Purchase,POTASSIUM BISULPHATE,KG(s),129.86,129.86,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,50,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP047,29322020,Purchase,PHENOLPHTHALEIN POWDER,KG(s),1073.63,1073.63,1,KG(s),RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,20,25,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP049,29343000,Purchase,PHENOL RED POWDER,KG(s),3786,3786,1,KG(s),RM,ORGANIC CHEMICALS,N,Stockable Product,15,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0.2,1,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP051,29280090,Purchase,PHENYL HYDRZINE HYDROCHLORIDE,KG(s),816,816,1,KG(s),RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,25,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP052,28342100,Purchase,POTASSIUM NITRATE A.R,KG(s),152.35,152.35,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP053,29036990,Purchase,POTASSIUM ACETATE  L.R,KG(s),216.77,216.77,1,KG(s),RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP054,29072990,Purchase,PYROGALLIC ACID (PYROGALLOL),KG(s),3896.4,3896.4,1,KG(s),RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP056,28415090,Purchase,POTASSIUM CHROMATE A.R,KG(s),396.73,396.73,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP057,29171190,Purchase,POTASSIUM OXALATE A.R,KG(s),198.36,198.36,1,KG(s),RM,ORGANIC CHEMICALS,N,Stockable Product,15,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,0,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP058,38334000,Purchase,POTASSIUM PERSULPHATE A.R,KG(s),1137.79,1137.79,1,KG(s),RM,MISCELLANEOUS CHEMICAL PRODUCTS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP059,28510090,Purchase,POTASSIUM PYROANTIMONATE,KG(s),1069.72,1069.72,1,KG(s),RM,INORGANIC CHEMICALS,Y,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,10,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP060,28341090,Purchase,POTASSIUM NITRITE L.R,KG(s),488.58,488.58,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP061,28352400,Purchase,POTASSIUM DIHYDROGEN ORTHOPHOSPHATE A.R,KG(s),221.88,221.88,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP062,29182990,Purchase,PATTON AND REEDER'S REAGENT(Calcon Carboxylic Acid,KG(s),6288,6288,1,KG(s),RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,1,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP063,28111990,Purchase,PERCHLORIC ACID 60% A.R,LT-KG,802.97,802.97,1.54,KG-1.540,RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,24,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP064,28111990,Purchase,PERCHLORIC ACID 70% A.R,LT-KG,848.61,848.61,1.7,KG-1.700,RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,24,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP065,29126000,Purchase,PARA FORMALDEHYDE (FINE POWDER),KG(s),114.4,114.4,1,KG(s),RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP066,28111990,Purchase,PERIODIC ACID,KG(s),5110.25,5110.25,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP067,28402090,Purchase,POTASSIUM BORATE,KG(s),102.25,102.25,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,25,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP068,29181510,Purchase,tri-POTASSIUM CITRATE L.R,KG(s),180.98,180.98,1,KG(s),RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP069,29280090,Purchase,PHENYL HYDRAZINE,KG-LT,1093.06,1093.06,1.099,LT-1.099,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,5,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP070,28332990,Purchase,PLASTER OF PARIS (PRACTICAL GRADE),KG(s),63.24,63.24,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP071,28299030,Purchase,POTASSIUM PERIODATE,KG(s),3169.75,3169.75,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@6, CGST@6 , IGST@12","SGST@6, CGST@6 , IGST@12",0,0,0,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP072,28439019,Purchase,PALLADIUM CHLORIDE,GM(s),1546.53,1546.53,1,GM(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP073,29155000,Purchase,PROPIONIC ACID,KG-LT,134.64,134.64,0.994,LT-0.994,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP074,28261990,Purchase,POTASSIUM FLUORIDE A.R.,KG(s),206.58,206.58,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,15,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,0,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP075,28275120,Purchase,POTASSIUM BROMIDE A.R,KG(s),306.74,306.74,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP076,39053000,Purchase,POLY VINYL ALCOHOL,KG(s),249.9,249.9,1,KG(s),RM,"PLASTICS AND ARTICLES THEREOF, RUBBER & ARTICLES THERE OF",N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP077,28380030,Purchase,POTASSIUM THIOCYANATE A.R.,KG(s),434.56,434.56,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
